name,team,position,fifa_code,group_name,api_football_id,balldontlie_id
SALIBA Nathan,Canada,MID,CAN,,,
FLORES Marcelo,Canada,MID,CAN,,,
OSPINA David,Colombia,GK,COL,,,
MUNOZ Daniel,Colombia,DEF,COL,,,
LUCUMI Jhon,Colombia,DEF,COL,,,
ARIAS Santiago,Colombia,DEF,COL,,,
CASTANO Kevin,Colombia,MID,COL,,,
RIOS Richard,Colombia,MID,COL,,,
DIAZ Luis,Colombia,FWD,COL,,,
CARRASCAL Jorge,Colombia,MID,COL,,,
CORDOBA Jhon,Colombia,FWD,COL,,,
RODRIGUEZ James,Colombia,MID,COL,,,
ARIAS Jhon,Colombia,MID,COL,,,
VARGAS Camilo,Colombia,GK,COL,,,
MINA Yerry,Colombia,DEF,COL,,,
PUERTA Gustavo,Colombia,DEF,COL,,,
PORTILLA Juan,Colombia,MID,COL,,,
LERMA Jefferson,Colombia,MID,COL,,,
MOJICA Johan,Colombia,DEF,COL,,,
DITTA Willer,Colombia,DEF,COL,,,
HERNANDEZ Cucho,Colombia,FWD,COL,,,
QUINTERO Juan,Colombia,MID,COL,,,
CAMPAZ Jaminton,Colombia,FWD,COL,,,
MACHADO Deiver,Colombia,DEF,COL,,,
SANCHEZ Davinson,Colombia,DEF,COL,,,
MONTERO Alvaro,Colombia,GK,COL,,,
SUAREZ Luis,Colombia,FWD,COL,,,
GOMEZ Andres,Colombia,FWD,COL,,,
MP ASI Lionel,Congo DR,GK,COD,,,
WAN-BISSAKA Aaron,Congo DR,DEF,COD,,,
KAPUADI Steve,Congo DR,DEF,COD,,,
TUANZEBE Axel,Congo DR,DEF,COD,,,
BATUBINSIKA Dylan,Congo DR,DEF,COD,,,
MUKAU Ngalayel,Congo DR,MID,COD,,,
MBUKU Nathanael,Congo DR,MID,COD,,,
MOUTOUSSAMY Samuel,Congo DR,MID,COD,,,
CIPENGA Brian,Congo DR,FWD,COD,,,
BONGONDA Theo,Congo DR,MID,COD,,,
KAKUTA Gael,Congo DR,FWD,COD,,,
KAYEMBE Joris,Congo DR,DEF,COD,,,
ELIA Meschack,Congo DR,FWD,COD,,,
SADIKI Noah,Congo DR,MID,COD,,,
TSHIBOLA Aaron,Congo DR,MID,COD,,,
FAYULU Timothy,Congo DR,GK,COD,,,
BAKAMBU Cedric,Congo DR,FWD,COD,,,
PICKEL Charles,Congo DR,MID,COD,,,
MAYELE Fiston,Congo DR,FWD,COD,,,
WISSA Yoane,Congo DR,FWD,COD,,,
EPOLO Matthieu,Congo DR,GK,COD,,,
MBEMBA Chancel,Congo DR,DEF,COD,,,
BANZA Simon,Congo DR,FWD,COD,,,
KALULU Gedeon,Congo DR,DEF,COD,,,
KAYEMBE Edo,Congo DR,MID,COD,,,
