name,team,position,fifa_code,group_name,api_football_id,balldontlie_id
SEBELEBELE Kamogelo,South Africa,FWD,RSA,,,
CROSS Bradley,South Africa,DEF,RSA,,,
RAYA David,Spain,GK,ESP,,,
PUBILL Marc,Spain,DEF,ESP,,,
GRIMALDO Alex,Spain,DEF,ESP,,,
GARCIA Eric,Spain,DEF,ESP,,,
LLORENTE Marcos,Spain,DEF,ESP,,,
MERINO Mikel,Spain,MID,ESP,,,
TORRES Ferran,Spain,FWD,ESP,,,
RUIZ Fabian,Spain,MID,ESP,,,
GAVI,Spain,MID,ESP,,,
OLMO Dani,Spain,FWD,ESP,,,
PINO Yeremy,Spain,FWD,ESP,,,
PORRO Pedro,Spain,DEF,ESP,,,
GARCIA Joan,Spain,GK,ESP,,,
LAPORTE Aymeric,Spain,DEF,ESP,,,
BAENA Alex,Spain,MID,ESP,,,
RODRI,Spain,MID,ESP,,,
WILLIAMS Nico,Spain,FWD,ESP,,,
ZUBIMENDI Martin,Spain,MID,ESP,,,
YAMAL Lamine,Spain,FWD,ESP,,,
PEDRI,Spain,MID,ESP,,,
OYARZABAL Mikel,Spain,FWD,ESP,,,
CUBARSI Pau,Spain,DEF,ESP,,,
SIMON Unai,Spain,GK,ESP,,,
CUCURELLA Marc,Spain,DEF,ESP,,,
MUNOZ Victor,Spain,FWD,ESP,,,
IGLESIAS Borja,Spain,FWD,ESP,,,
WIDELL ZETTERSTROM Jacob,Sweden,GK,SWE,,,
LAGERBIELKE Gustaf,Sweden,DEF,SWE,,,
LINDELOF Victor,Sweden,DEF,SWE,,,
HIEN Isak,Sweden,DEF,SWE,,,
GUDMUNDSSON Gabriel,Sweden,DEF,SWE,,,
JOHANSSON Herman,Sweden,DEF,SWE,,,
BERGVALL Lucas,Sweden,MID,SWE,,,
SVENSSON Daniel,Sweden,DEF,SWE,,,
ISAK Alexander,Sweden,FWD,SWE,,,
NYGREN Benjamin,Sweden,MID,SWE,,,
ELANGA Anthony,Sweden,FWD,SWE,,,
JOHANSSON Viktor,Sweden,GK,SWE,,,
SEMA Ken,Sweden,MID,SWE,,,
EKDAL Hjalmar,Sweden,DEF,SWE,,,
STARFELT Carl,Sweden,DEF,SWE,,,
KARLSTROM Jesper,Sweden,MID,SWE,,,
GYOKERES Viktor,Sweden,FWD,SWE,,,
AYARI Yasin,Sweden,MID,SWE,,,
SVANBERG Mattias,Sweden,MID,SWE,,,
SMITH Eric,Sweden,DEF,SWE,,,
BERNHARDSSON Alexander,Sweden,DEF,SWE,,,
ZENELI Besfort,Sweden,MID,SWE,,,
NORDFELDT Kristoffer,Sweden,GK,SWE,,,
STROUD Elliot,Sweden,DEF,SWE,,,
NILSSON Gustaf,Sweden,FWD,SWE,,,
ALI Taha,Sweden,FWD,SWE,,,
KOBEL Gregor,Switzerland,GK,SUI,,,
MUHEIM Miro,Switzerland,DEF,SUI,,,
WIDMER Silvan,Switzerland,DEF,SUI,,,
ELVEDI Nico,Switzerland,DEF,SUI,,,
AKANJI Manuel,Switzerland,DEF,SUI,,,
ZAKARIA Denis,Switzerland,MID,SUI,,,
EMBOLO Breel,Switzerland,FWD,SUI,,,
FREULER Remo,Switzerland,MID,SUI,,,
MANZAMBI Johan,Switzerland,MID,SUI,,,
XHAKA Granit,Switzerland,MID,SUI,,,
NDOYE Dan,Switzerland,FWD,SUI,,,
MV OGO Yvon,Switzerland,GK,SUI,,,
RODRIGUEZ Ricardo,Switzerland,DEF,SUI,,,
JASHARI Ardon,Switzerland,MID,SUI,,,
SOW Djibril,Switzerland,MID,SUI,,,
FASSNACHT Christian,Switzerland,FWD,SUI,,,
VARGAS Ruben,Switzerland,FWD,SUI,,,
COEMERT Eray,Switzerland,DEF,SUI,,,
OKAFOR Noah,Switzerland,FWD,SUI,,,
AEBISCHER Michel,Switzerland,MID,SUI,,,
KELLER Marvin,Switzerland,GK,SUI,,,
RIEDER Fabian,Switzerland,MID,SUI,,,
AMDOUNI Zeki,Switzerland,FWD,SUI,,,
AMENDA Aurele,Switzerland,DEF,SUI,,,
JAQUEZ Luca,Switzerland,DEF,SUI,,,
ITTEN Cedric,Switzerland,FWD,SUI,,,
CHAMAKH Mouhib,Tunisia,GK,TUN,,,
ABDI Ali,Tunisia,DEF,TUN,,,
TALBI Montassar,Tunisia,DEF,TUN,,,
REKIK Omar,Tunisia,DEF,TUN,,,
AROUS Adam,Tunisia,DEF,TUN,,,
BRONN Dylan,Tunisia,DEF,TUN,,,
ACHOURI Elias,Tunisia,FWD,TUN,,,
SAAD Elias,Tunisia,FWD,TUN,,,
MASTOURI Hazem,Tunisia,FWD,TUN,,,
MEJBRI Hannibal,Tunisia,MID,TUN,,,
GHARBI Ismael,Tunisia,MID,TUN,,,
BEN OUANES Mortadha,Tunisia,DEF,TUN,,,
KHEDIRA Rani,Tunisia,MID,TUN,,,
AYARI Khalil,Tunisia,MID,TUN,,,
HADJ MAHMOUD Mohamed,Tunisia,MID,TUN,,,
DAHMEN Aymen,Tunisia,GK,TUN,,,
SKHIRI Ellyes,Tunisia,MID,TUN,,,
ELLOUMI Rayan,Tunisia,FWD,TUN,,,
CHAOUAT Firas,Tunisia,FWD,TUN,,,
VALERY Yan,Tunisia,DEF,TUN,,,
BEN HMIDA Mohamed Amine,Tunisia,DEF,TUN,,,
BEN HESSEN Sabri,Tunisia,GK,TUN,,,
NEFFATI Moutaz,Tunisia,DEF,TUN,,,
CHIKHAOUI Raed,Tunisia,DEF,TUN,,,
SLIMANE Anis,Tunisia,MID,TUN,,,
TOUNEKTI Sebastian,Tunisia,MID,TUN,,,
GUNOK Mert,Türkiye,GK,TUR,,,
CELIK Zeki,Türkiye,DEF,TUR,,,
DEMIRAL Merih,Türkiye,DEF,TUR,,,
SOYUNCU Caglar,Türkiye,DEF,TUR,,,
OZCAN Salih,Türkiye,MID,TUR,,,
KOKCU Orkun,Türkiye,MID,TUR,,,
AKTURKOGLU Kerem,Türkiye,FWD,TUR,,,
GULER Arda,Türkiye,FWD,TUR,,,
GUL Deniz,Türkiye,FWD,TUR,,,
CALHANOGLU Hakan,Türkiye,MID,TUR,,,
YILDIZ Kenan,Türkiye,FWD,TUR,,,
BAYINDIR Altay,Türkiye,GK,TUR,,,
ELMALI Eren,Türkiye,DEF,TUR,,,
BARDAKCI Abdulkerim,Türkiye,DEF,TUR,,,
KABAK Ozan,Türkiye,DEF,TUR,,,
YUKSEK Ismail,Türkiye,MID,TUR,,,
KAHVECI Irfan Can,Türkiye,FWD,TUR,,,
MULDUR Mert,Türkiye,DEF,TUR,,,
AKGUN Yunus,Türkiye,FWD,TUR,,,
KADIOGLU Ferdi,Türkiye,DEF,TUR,,,
YILMAZ Baris Alper,Türkiye,FWD,TUR,,,
AYHAN Kaan,Türkiye,MID,TUR,,,
CAKIR Ugurcan,Türkiye,GK,TUR,,,
AYDIN Oguz,Türkiye,FWD,TUR,,,
AKAYDIN Samet,Türkiye,DEF,TUR,,,
UZUN Can,Türkiye,FWD,TUR,,,
ROCHET Sergio,Uruguay,GK,URU,,,
GIMENEZ Jose Maria,Uruguay,DEF,URU,,,
CACERES Sebastian,Uruguay,DEF,URU,,,
ARAUJO Ronald,Uruguay,DEF,URU,,,
UGARTE Manuel,Uruguay,MID,URU,,,
BENTANCUR Rodrigo,Uruguay,MID,URU,,,
DE LA CRUZ Nicolas,Uruguay,MID,URU,,,
VALVERDE Federico,Uruguay,MID,URU,,,
NUNEZ Darwin,Uruguay,FWD,URU,,,
DE ARRASCAETA Giorgian,Uruguay,MID,URU,,,
PELLISTRI Facundo,Uruguay,FWD,URU,,,
MELE Santiago,Uruguay,GK,URU,,,
VARELA Guillermo,Uruguay,DEF,URU,,,
CANOBBIO Agustin,Uruguay,MID,URU,,,
MARTINEZ Emiliano,Uruguay,MID,URU,,,
OLIVERA Mathias,Uruguay,DEF,URU,,,
VINA Matias,Uruguay,DEF,URU,,,
RODRIGUEZ Brian,Uruguay,FWD,URU,,,
AGUIRRE Rodrigo,Uruguay,FWD,URU,,,
ARAUJO Maxi,Uruguay,MID,URU,,,
VINAS Federico,Uruguay,FWD,URU,,,
PIQUEREZ Joaquin,Uruguay,MID,URU,,,
MUSLERA Fernando,Uruguay,GK,URU,,,
BUENO Santiago,Uruguay,DEF,URU,,,
SANABRIA Juan Manuel,Uruguay,MID,URU,,,
ZALAZAR Rodrigo,Uruguay,MID,URU,,,
TURNER Matt,USA,GK,USA,,,
DEST Sergino,USA,DEF,USA,,,
RICHARDS Chris,USA,DEF,USA,,,
ADAMS Tyler,USA,MID,USA,,,
ROBINSON Antonee,USA,DEF,USA,,,
TRUSTY Auston,USA,DEF,USA,,,
REYNA Giovanni,USA,MID,USA,,,
McKENNIE Weston,USA,MID,USA,,,
PEPI Ricardo,USA,FWD,USA,,,
PULISIC Christian,USA,FWD,USA,,,
AARONSON Brenden,USA,FWD,USA,,,
ROBINSON Miles,USA,DEF,USA,,,
REAM Tim,USA,DEF,USA,,,
BERHALTER Sebastian,USA,MID,USA,,,
ROLDAN Cristian,USA,MID,USA,,,
FREEMAN Alex,USA,DEF,USA,,,
TILLMAN Malik,USA,MID,USA,,,
ARFSTEN Max,USA,DEF,USA,,,
WRIGHT Haji,USA,FWD,USA,,,
BALOGUN Folarin,USA,FWD,USA,,,
WEAH Timothy,USA,FWD,USA,,,
McKENZIE Mark,USA,DEF,USA,,,
SCALLY Joe,USA,DEF,USA,,,
FREESE Matt,USA,GK,USA,,,
BRADY Chris,USA,GK,USA,,,
ZENDEJAS Alex,USA,FWD,USA,,,
YUSUPOV Utkir,Uzbekistan,GK,UZB,,,
KHUSANOV Abdukodir,Uzbekistan,DEF,UZB,,,
ALIJONOV Khojiakbar,Uzbekistan,DEF,UZB,,,
SAYFIEV Farrukh,Uzbekistan,DEF,UZB,,,
ASHURMATOV Rustam,Uzbekistan,DEF,UZB,,,
MOZGOVOY Akmal,Uzbekistan,MID,UZB,,,
SHUKUROV Otabek,Uzbekistan,MID,UZB,,,
ISKANDEROV Jamshid,Uzbekistan,MID,UZB,,,
XAMROBEKOV Odiljon,Uzbekistan,MID,UZB,,,
MASHARIPOV Jaloliddin,Uzbekistan,MID,UZB,,,
URUNOV Oston,Uzbekistan,MID,UZB,,,
NEMATOV Abduvohid,Uzbekistan,GK,UZB,,,
NASRULLAEV Sherzod,Uzbekistan,DEF,UZB,,,
SHOMURODOV Eldor,Uzbekistan,FWD,UZB,,,
ESHMURODOV Umar,Uzbekistan,DEF,UZB,,,
ERGASHEV Botirali,Uzbekistan,GK,UZB,,,
KHAMDAMOV Dostonbek,Uzbekistan,MID,UZB,,,
ABDULLAEV Abdulla,Uzbekistan,DEF,UZB,,,
GANIEV Azizjon,Uzbekistan,MID,UZB,,,
AMONOV Azizbek,Uzbekistan,FWD,UZB,,,
SERGEEV Igor,Uzbekistan,FWD,UZB,,,
FAYZULLAEV Abbosbek,Uzbekistan,MID,UZB,,,
ESANOV Sherzod,Uzbekistan,MID,UZB,,,
KARIMOV Behruzjon,Uzbekistan,DEF,UZB,,,
ULMASALIYEV Avazbek,Uzbekistan,DEF,UZB,,,
UROZOV Jakhongir,Uzbekistan,DEF,UZB,,,
